group,trial_id,csv_file,csv_row_idx,csv_delim,A,n,r,c,s,Z_obj,occ_infront,occ_ring,mask_extra,cam_x,cam_y,cam_z,candidates_size,ee_x,ee_y,ee_z,exec_ok,ik_fail_count,ik_success_count,planning_ok,planning_time_sec,reps_size,score,sel_best_mode_dq_exec,sel_best_mode_m_exec,sel_best_mode_m_limit,sel_best_mode_m_sing,sel_best_mode_score,selected_dq_exec,selected_idx_in_candidates,selected_psc,stamp,traj_points,trial_tag,use_comp,used_mode0_members
L1+IK_only,1,nbv_executor_IK_only_1772238387_956386.csv,0,COMMA,84,5978.3,1.00,1.000,0.560,0.844,0.321,0.071,0.494,-0.12248173356056213,0.041455063968896866,0.39981552958488464,202,-0.12887506564624088,0.003158944104258349,0.5202677211135227,0,37.0,148.0,0,1.8176853656768799,1,1.0,9.508544921875,0.735315203666687,0.735315203666687,1.0,1.0,9.508544921875,174,0.7538126111030579,1772238385.9074345,0,ik_only,1,0
L1+IK_only,2,nbv_executor_IK_only_1772238654_379602.csv,0,COMMA,27,3976.3,1.00,1.000,0.565,0.854,0.405,0.068,0.310,0.036932025104761124,-0.19835340976715088,0.3665012717247009,293,-0.12881871476343917,0.003129349738457632,0.5202785403173945,0,169.0,111.0,0,0.23514008522033691,1,1.0,9.13759708404541,0.6978611946105957,0.6978611946105957,1.0,1.0,9.13759708404541,1,0.6155778765678406,1772238653.8413396,0,ik_only,1,0
L1+IK_only,3,nbv_executor_IK_only_1772238877_163910.csv,0,COMMA,44,3973.0,1.00,1.000,0.568,0.855,0.405,0.070,0.312,0.05267004668712616,-0.1534672975540161,0.3984886407852173,260,-0.034660006911991836,-0.22104072240865336,0.585153740846377,1,159.0,137.0,1,2.1025679111480713,1,1.0,5.827174186706543,0.2883032262325287,0.2883032262325287,1.0,1.0,5.827174186706543,20,0.5831265449523926,1772238836.9925437,69,ik_only,1,0
L1+IK_only,4,nbv_executor_IK_only_1772239243_270088.csv,0,COMMA,23,4062.7,1.00,1.000,0.611,0.871,0.407,0.080,0.326,-0.30328381061553955,-0.16662631928920746,0.3618168830871582,249,-0.2515809901080876,-0.21406634815512365,0.5669736500024595,1,155.0,102.0,1,0.8274226188659668,1,1.0,3.543553352355957,0.6317536234855652,0.6317536234855652,1.0,1.0,3.543553352355957,187,0.7081339955329895,1772239219.5296936,35,ik_only,1,0
L1+IK_only,5,nbv_executor_IK_only_1772239403_133918.csv,0,COMMA,16,4065.2,1.00,1.000,0.608,0.871,0.408,0.078,0.323,-0.3247077763080597,-0.13901007175445557,0.3947521150112152,303,-0.2490524497688228,-0.21091503668172398,0.5847702213538981,1,173.0,120.0,1,0.9904932975769043,1,1.0,3.6735737323760986,0.43510693311691284,0.43510693311691284,1.0,1.0,3.6735737323760986,67,0.7775229215621948,1772239378.3586917,31,ik_only,1,0
L1+IK_only,6,nbv_executor_IK_only_1772239533_868130.csv,0,COMMA,32,4073.0,1.00,1.000,0.608,0.871,0.408,0.077,0.318,-0.3283267617225647,-0.16815365850925446,0.38023918867111206,273,-0.1288550544461182,0.0031572220531058126,0.5202927573925257,0,153.0,110.0,0,1.6874356269836426,1,1.0,9.476825714111328,0.5234428644180298,0.5234428644180298,1.0,1.0,9.476825714111328,95,0.7837209105491638,1772239531.983143,0,ik_only,1,0
L1+IK_only,7,nbv_executor_IK_only_1772239726_406540.csv,0,COMMA,26,4067.2,1.00,1.000,0.608,0.871,0.407,0.079,0.322,0.03518068790435791,-0.1849232017993927,0.4204382300376892,252,-0.06628400445796773,-0.24320313617314226,0.6030563760803171,1,184.0,98.0,1,1.7637808322906494,1,1.0,8.911952018737793,0.7420216798782349,0.7420216798782349,1.0,1.0,8.911952018737793,24,0.7865707278251648,1772239694.2091444,66,ik_only,1,0
L1+IK_only,8,nbv_executor_IK_only_1772240055_912223.csv,0,COMMA,33,3487.1,1.00,1.000,0.403,0.747,0.400,0.156,0.489,-0.20394882559776306,-0.05125638470053673,0.34946438670158386,289,-0.17847201803433876,-0.15311480854331802,0.5392305322846388,1,159.0,145.0,1,1.2383241653442383,1,1.0,4.19234561920166,0.37013497948646545,0.37013497948646545,1.0,1.0,4.19234561920166,22,0.5035461187362671,1772240029.9287362,38,ik_only,1,0
L1+IK_only,9,nbv_executor_IK_only_1772240246_548502.csv,0,COMMA,46,3484.4,1.00,1.000,0.402,0.746,0.400,0.153,0.486,-0.2865257263183594,-0.041109729558229446,0.4203227162361145,296,-0.21688032066654264,-0.1777419687620279,0.5737490848983646,1,145.0,163.0,1,1.3803379535675049,1,1.0,8.00442886352539,0.14788006246089935,0.14788006246089935,1.0,1.0,8.00442886352539,32,0.48514851927757263,1772240219.8040304,54,ik_only,1,0
L1+IK_only,10,nbv_executor_IK_only_1772240415_541967.csv,0,COMMA,29,3531.4,1.00,1.000,0.443,0.767,0.400,0.153,0.485,-0.2509441673755646,-0.015792759135365486,0.4306061565876007,301,-0.19392871996223002,-0.16437061986921322,0.5778841497428673,1,130.0,157.0,1,1.3558409214019775,1,1.0,3.9254329204559326,0.07406206429004669,0.07406206429004669,1.0,1.0,3.9254329204559326,141,0.5188916921615601,1772240388.0457199,30,ik_only,1,0
L1+IK_only,11,nbv_executor_IK_only_1772240564_493406.csv,0,COMMA,45,3534.9,1.00,1.000,0.438,0.765,0.400,0.150,0.481,-0.20443686842918396,0.0054166801273822784,0.42875775694847107,241,-0.17664982772292864,-0.15243612310274995,0.5748911050754562,1,138.0,138.0,1,0.991621732711792,1,1.0,4.006983280181885,0.03136909380555153,0.03136909380555153,1.0,1.0,4.006983280181885,31,0.547911524772644,1772240537.8954282,30,ik_only,1,0
L1+IK_only,12,nbv_executor_IK_only_1772240732_388511.csv,0,COMMA,31,3552.3,1.00,1.000,0.449,0.771,0.400,0.154,0.488,-0.2789252698421478,-0.15527105331420898,0.33274561166763306,285,-0.23509826547402912,-0.2118991962118193,0.5374953510249715,1,182.0,112.0,1,1.348543643951416,1,1.0,7.627101898193359,0.7478010654449463,0.7478010654449463,1.0,1.0,7.627101898193359,54,0.48614609241485596,1772240702.6055214,55,ik_only,1,0
L1+IK_only,13,nbv_executor_IK_only_1772240902_733630.csv,0,COMMA,22,3555.9,1.00,1.000,0.448,0.771,0.400,0.150,0.480,-0.2823498249053955,-0.3246501088142395,0.3679560720920563,236,-0.2277906994520811,-0.31078569513890586,0.5774377787636521,1,202.0,30.0,1,1.4099464416503906,1,1.0,6.185470104217529,0.6496010422706604,0.6496010422706604,1.0,1.0,6.185470104217529,18,0.5229591727256775,1772240871.8402708,61,ik_only,1,0
L1+IK_only,14,nbv_executor_IK_only_1772241371_282496.csv,0,COMMA,59,3317.7,1.00,1.000,0.473,0.777,0.389,0.003,0.233,-0.26305872201919556,-0.13071607053279877,0.36067482829093933,266,-0.12886967968415197,0.003067109669459278,0.5202315887032979,0,161.0,103.0,0,0.21977806091308594,1,1.0,6.067037105560303,0.3675122857093811,0.3675122857093811,1.0,1.0,6.067037105560303,8,0.6801801919937134,1772241370.7527192,0,ik_only,1,0
L1+IK_only,15,nbv_executor_IK_only_1772241512_668715.csv,0,COMMA,38,3309.1,1.00,1.000,0.444,0.745,0.390,0.009,0.252,-0.3183801472187042,-0.17535200715065002,0.4047762155532837,273,-0.12883866407609407,0.0031730273455356783,0.5202681196184167,0,146.0,127.0,0,1.9237017631530762,1,1.0,5.498623371124268,0.6200585961341858,0.6200585961341858,1.0,1.0,5.498623371124268,224,0.6844444274902344,1772241509.9872146,0,ik_only,1,0
L1+IK_only,16,nbv_executor_IK_only_1772241802_200664.csv,0,COMMA,59,4449.6,1.00,1.000,0.577,0.882,0.389,0.026,0.242,-0.20602576434612274,-0.13423535227775574,0.3208301365375519,245,-0.18697061640107038,-0.16950695899645601,0.5339897259146192,1,141.0,106.0,1,4.914926052093506,1,1.0,9.72226333618164,0.5211597681045532,0.5211597681045532,1.0,1.0,9.72226333618164,5,0.698630154132843,1772241760.4647825,88,ik_only,1,0
L1+IK_only,17,nbv_executor_IK_only_1772241997_385772.csv,0,COMMA,22,4292.4,1.00,1.000,0.546,0.864,0.389,0.020,0.240,-0.19513753056526184,-0.10285340249538422,0.330292671918869,261,-0.17296818096302247,-0.1577330442014754,0.5389076633102566,1,140.0,112.0,1,4.09174919128418,1,1.0,10.107048034667969,0.3223617374897003,0.3223617374897003,1.0,1.0,10.107048034667969,17,0.6372092962265015,1772241940.9212866,129,ik_only,1,0
L1+IK_only,18,nbv_executor_IK_only_1772242328_996186.csv,0,COMMA,90,5171.5,1.00,1.000,0.614,0.926,0.369,0.002,0.045,-0.28594356775283813,-0.13549788296222687,0.3461059033870697,174,-0.21823739960578903,-0.18618177523698,0.5458119532190682,1,32.0,107.0,1,1.1181094646453857,1,1.0,4.054640293121338,0.3830548822879791,0.3830548822879791,1.0,1.0,4.054640293121338,40,0.45625001192092896,1772242303.592986,35,ik_only,1,0
L1+IK_only,19,nbv_executor_IK_only_1772242623_448406.csv,0,COMMA,26,4356.2,1.00,1.000,0.403,0.761,0.365,0.067,0.399,-0.10986457765102386,0.08050244301557541,0.4738721251487732,236,-0.12883009994919603,0.0031013962733496547,0.5202851370165235,0,48.0,119.0,0,1.8864433765411377,1,1.0,10.518411636352539,0.07754561305046082,0.07754561305046082,1.0,1.0,10.518411636352539,70,0.29296875,1772242620.885904,0,ik_only,1,0
L1+IK_only,20,nbv_executor_IK_only_1772242804_667687.csv,0,COMMA,58,4361.6,1.00,1.000,0.413,0.767,0.365,0.067,0.403,-0.1680714190006256,0.07931320369243622,0.46676522493362427,173,-0.12883009994919603,0.0031013962733496547,0.5202851370165235,0,26.0,145.0,0,1.9367561340332031,1,1.0,10.273738861083984,0.1258210688829422,0.1258210688829422,1.0,1.0,10.273738861083984,99,0.2530120611190796,1772242802.1838467,0,ik_only,1,0
