trial_id,method_l2,planning_ok_l2,selected_dq_exec_l2,planning_time_sec_l2,sel_best_mode_m_limit_l2,sel_best_mode_m_sing_l2,candidates_size_l2,ik_success_count_l2,ik_fail_count_l2,method_ik,planning_ok_ik,selected_dq_exec_ik,planning_time_sec_ik,sel_best_mode_m_limit_ik,sel_best_mode_m_sing_ik,candidates_size_ik,ik_success_count_ik,ik_fail_count_ik,d_dq_exec,d_time,d_m_limit,d_m_sing,delta_d,delta_t_plan,delta_mu_L,delta_mu_S
4,L1+L2,1,2.435544759097884,1.000233173370361,,,5,5.0,0.0,L1+IK-only,1,3.543553352355957,0.8274226188659668,0.6317536234855652,1.0,249,102.0,155.0,-1.1080085932580732,0.1728105545043943,,,-1.1080085932580732,0.1728105545043943,,
5,L1+L2,1,2.5567120313455582,1.3035163879394531,0.4918204843997955,1.0,5,5.0,0.0,L1+IK-only,1,3.673573732376098,0.9904932975769044,0.4351069331169128,1.0,303,120.0,173.0,-1.11686170103054,0.3130230903625487,0.05671355128288269,0.0,-1.11686170103054,0.3130230903625487,0.05671355128288269,0.0
7,L1+L2,1,3.1880816826189267,1.0810692310333252,0.9877890348434448,1.0,1,1.0,0.0,L1+IK-only,1,8.911952018737793,1.7637808322906494,0.7420216798782349,1.0,252,98.0,184.0,-5.723870336118866,-0.6827116012573242,0.24576735496520996,0.0,-5.723870336118866,-0.6827116012573242,0.24576735496520996,0.0
8,L1+L2,1,2.0542151777046715,0.97823166847229,0.0955625176429748,1.0,5,5.0,0.0,L1+IK-only,1,4.19234561920166,1.2383241653442385,0.3701349794864654,1.0,289,145.0,159.0,-2.1381304414969886,-0.26009249687194846,-0.2745724618434906,0.0,-2.1381304414969886,-0.26009249687194846,-0.2745724618434906,0.0
9,L1+L2,1,4.109089099907907,1.3204004764556885,0.5313643217086792,1.0,9,9.0,0.0,L1+IK-only,1,8.00442886352539,1.3803379535675049,0.1478800624608993,1.0,296,163.0,145.0,-3.895339763617484,-0.059937477111816406,0.3834842592477799,0.0,-3.895339763617484,-0.059937477111816406,0.3834842592477799,0.0
10,L1+L2,1,2.6908292504665106,1.2472124099731443,0.9089732766151428,1.0,1,1.0,0.0,L1+IK-only,1,3.9254329204559326,1.3558409214019775,0.0740620642900466,1.0,301,157.0,130.0,-1.234603669989422,-0.10862851142883323,0.8349112123250962,0.0,-1.234603669989422,-0.10862851142883323,0.8349112123250962,0.0
11,L1+L2,1,2.5755951227532283,1.0147032737731934,1.0,1.0,4,4.0,0.0,L1+IK-only,1,4.006983280181885,0.991621732711792,0.0313690938055515,1.0,241,138.0,138.0,-1.4313881574286564,0.023081541061401367,0.9686309061944485,0.0,-1.4313881574286564,0.023081541061401367,0.9686309061944485,0.0
12,L1+L2,1,4.447758970893278,1.5641584396362305,,,2,2.0,0.0,L1+IK-only,1,7.627101898193359,1.348543643951416,0.7478010654449463,1.0,285,112.0,182.0,-3.1793429273000813,0.21561479568481445,,,-3.1793429273000813,0.21561479568481445,,
13,L1+L2,1,8.277796159154304,1.381453037261963,0.1432736814022064,1.0,2,2.0,0.0,L1+IK-only,1,6.185470104217529,1.4099464416503906,0.6496010422706604,1.0,236,30.0,202.0,2.092326054936775,-0.028493404388427734,-0.506327360868454,0.0,2.092326054936775,-0.028493404388427734,-0.506327360868454,0.0
16,L1+L2,1,2.767945310112633,1.1317241191864014,0.4483000338077545,1.0,1,1.0,0.0,L1+IK-only,1,9.72226333618164,4.914926052093506,0.5211597681045532,1.0,245,106.0,141.0,-6.954318026069007,-3.7832019329071045,-0.0728597342967987,0.0,-6.954318026069007,-3.7832019329071045,-0.0728597342967987,0.0
